"Low_range"," Persons","Mean_income"
1,176693,8421
9601,237593,10290
10801,472988,11545
12001,640711,12638
13201,800156,13845
14401,1003174,15036
15601,1160966,16277
16801,1257160,17420
18001,1277633,18610
19201,1104486,19814
20401,974158,21008
21601,871624,22203
22801,738219,23406
24001,665495,24603
25201,579495,25810
26401,490502,26998
27601,434652,28217
28801,367593,29419
30001,315519,30616
31201,280371,31804
32401,245630,32976
33601,206728,34176
34801,163851,35418
36001,257475,37154
38401,605074,48338
